metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Winter Haven, FL",201289,1501,134,7994000
"Bremerton, WA",198979,1160,136,3742000
"Avondale--Goodyear, AZ",197041,1266,88,7507000
"Amarillo, TX",196651,1433,81,4692000
"Erie, PA",196611,882,82,2602000
"Santa Barbara, CA",195861,649,56,4666000
"Waterbury, CT",194535,899,90,3876000
"Fort Walton Beach--Navarre--Wright, FL",191917,1425,121,5776000
"Gainesville, FL",187781,1096,87,4968000
"Salinas, CA",184809,498,49,2993000
"Hagerstown, MD--WV--PA",182696,1066,133,6098000
"Deltona, FL",182169,1239,96,5817000
"Lorain--Elyria, OH",180956,876,100,4191000
"Spartanburg, SC",180786,1856,190,7622000
"Cedar Rapids, IA",177844,1341,83,4135000
"Fargo, ND--MN",176676,1123,70,4164000
"Olympia--Lacey, WA",176617,967,106,4708000
"Waco, TX",172378,1298,90,6031000
"College Station--Bryan, TX",171345,866,71,4285000
"McKinney, TX",170030,1376,74,8896000
"North Port--Port Charlotte, FL",169541,2062,119,6261000
"Gastonia, NC--SC",169495,1133,139,5081000
"Danbury, CT--NY",168136,908,132,3909000
"High Point, NC",166485,1096,113,4613000
"Vallejo, CA",165074,515,42,3249000
"Santa Cruz, CA",163703,606,58,2938000
"Hemet, CA",163379,574,49,1808000
"Springfield, IL",161316,1168,92,3994000
"Muskegon, MI",161280,1087,112,3860000
"Clarksville, TN--KY",158655,887,110,4217000
"Manchester, NH",158377,806,86,4315000
"Binghamton, NY--PA",158084,1107,74,4062000
"Ocala, FL",156909,1660,112,6713000
"Sioux Falls, SD",156777,1162,64,3752000
"Medford, OR",154081,1076,65,3519000
"Charleston, WV",153199,1195,98,4422000
"Port Arthur, TX",153150,976,106,2401000
"Nampa, ID",151499,1073,69,4130000
"Topeka, KS",150003,1182,80,3564000
"Ponce, PR",149539,502,44,1583000
"New Bedford, MA",149443,846,55,3679000
"Sebastian--Vero Beach South--Florida Ridge, FL",149422,1123,97,3918000
"Spring Hill, FL",148220,1401,115,4575000
"Beaumont, TX",147922,1111,92,5139000
"Lafayette, IN",147725,671,64,2688000
"Champaign, IL",145361,614,47,2252000
"Marysville, WA",145140,741,82,3587000
"Houma, LA",144875,1179,91,3590000
"Elkhart, IN--MI",143592,1056,92,4058000
"Lake Charles, LA",143440,1270,127,5553000
"Panama City, FL",143280,1245,92,4568000
"Frederick, MD",141576,735,73,5026000
"Fredericksburg, VA",141238,876,78,6409000
"Arecibo, PR",139171,763,84,1597000
"Tuscaloosa, AL",139114,1210,90,4933000
"Macon, GA",137570,1253,98,5751000
"Merced, CA",136969,528,48,1886000
"Pueblo, CO",136550,1148,74,3018000
"Harlingen, TX",135663,1025,83,4028000
"Yuma, AZ--CA",135267,931,59,2951000
"Racine, WI",133700,616,49,2460000
"Fairfield, CA",133683,409,39,3981000
"Warner Robins, GA",133109,1136,101,4631000
"Bloomington--Normal, IL",132600,776,49,2755000
"Leesburg--Eustis--Tavares, FL",131337,1074,94,4436000
"Gainesville, GA",130846,1120,126,5371000
"Santa Maria, CA",130447,393,29,1906000
"Tyler, TX",130247,1064,90,3618000
"Yakima, WA",129534,616,60,2256000
"Athens-Clarke County, GA",128754,1002,98,4467000
"Las Cruces, NM",128600,1028,65,2828000
"Grand Junction, CO",128124,864,79,2458000
"Odessa, TX",126405,1165,59,4425000
"Saginaw, MI",126265,790,71,2969000
"Simi Valley, CA",125206,365,31,2249000
"Columbia, MO",124748,784,62,3047000
"Kenosha, WI--IL",124064,589,51,2558000
"Fort Smith, AR--OK",122947,1101,71,4287000
"Mauldin--Simpsonville, SC",120577,1014,84,4283000
"Johnson City, TN",120415,1027,110,3534000
"Duluth, MN--WI",120378,1121,70,2922000
"Burlington, NC",119911,889,90,4475000
"South Lyon--Howell, MI",119509,785,103,4684000
"San German--Cabo Rojo--Sabana Grande, PR",118199,727,95,1126000
"Greeley, CO",117825,634,41,2278000
"Midland, TX",117807,946,53,4264000
"Greenville, NC",117798,578,65,1969000
"Redding, CA",117731,640,71,2518000
"Utica, NY",117328,1206,62,4144000
"Leominster--Fitchburg, MA",116960,945,65,3305000
"Yuba City, CA",116719,522,39,1841000
"Lynchburg, VA",116636,902,89,3597000
